City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Lorengau,PG,81.21,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
428,Arteaga,MX,86.81,broken clouds,18.4667,-102.4167,
431,Mogadishu,SO,83.03,broken clouds,2.0371,45.3438,Hotel Juba
434,Bhadra,IN,85.01,scattered clouds,29.1167,75.1667,Hotel Ganpati
437,Karaton,ID,80.01,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
441,Adilabad,IN,90.82,broken clouds,19.6667,78.5333,Dwaraka Hotel.
444,Ixtapa,MX,82.4,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
449,Jacmel,HT,86.0,scattered clouds,18.2342,-72.5347,Hotel Florita
451,Haapiti,PF,86.0,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
454,Pachperwa,IN,82.06,clear sky,27.5167,82.65,Manglam mairrage haal
455,Dolores Hidalgo,MX,88.0,clear sky,21.1561,-100.9308,Hotel Hidalgo
457,Laguna,US,88.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
458,Ligayan,PH,83.89,scattered clouds,4.6533,119.4706,
459,Samarai,PG,80.01,broken clouds,-10.6167,150.6667,Nuli Sapi
461,Matiguas,NI,82.4,scattered clouds,12.8373,-85.4622,Hotel Bethel
463,Port Blair,IN,81.0,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
469,Pochutla,MX,88.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
471,Russell,US,82.4,scattered clouds,32.3502,-85.1999,Macs
472,Nadadores,MX,86.0,scattered clouds,27.05,-101.6,Hacienda Las Catalinas
476,Harper,LR,80.65,overcast clouds,4.375,-7.7169,Screensaver
480,Aswan,EG,87.85,clear sky,24.0934,32.907,Nuba Nile
484,Segou,ML,96.12,scattered clouds,13.4317,-6.2157,Comme chez soi
501,Ewa Beach,US,80.6,light rain,21.3156,-158.0072,Uncle Junior Robert
513,Asyut,EG,80.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
514,Houma,US,88.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
518,Buraydah,SA,80.6,clear sky,26.326,43.975,فندق راحة السلام
520,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
522,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
523,Las Colinas,PA,86.0,few clouds,8.55,-80.0833,ChillVille at K23.5
527,Hobyo,SO,85.01,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
529,Teahupoo,PF,86.0,few clouds,-17.8333,-149.2667,Vanira Lodge
532,El Progreso,HN,95.0,few clouds,15.4,-87.8,Hotel La Arboleda
536,Upata,VE,86.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
546,Eydhafushi,MV,83.64,few clouds,5.1033,73.0708,Soneva Fushi
548,Rajula,IN,87.39,overcast clouds,21.05,71.4333,Lion Lords Inn Rajula
556,Biltine,TD,86.18,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
559,Taoudenni,ML,95.99,broken clouds,22.6783,-3.9836,
570,Ridgecrest,US,89.6,broken clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
571,Wagar,SD,84.15,broken clouds,16.1525,36.2032,
573,Zacualpan,MX,86.0,broken clouds,21.25,-105.1667,La Colorada B&B
590,Maine-Soroa,NE,85.66,clear sky,13.2114,12.0241,Complexe
